Name                                                                            Stmts   Miss  Cover
---------------------------------------------------------------------------------------------------
account/__init__.py                                                                 0      0   100%
account/admin.py                                                                    4      0   100%
account/apps.py                                                                     3      0   100%
account/management/__init__.py                                                      0      0   100%
account/management/commands/__init__.py                                             0      0   100%
account/management/commands/create_user.py                                         28      0   100%
account/migrations/0001_initial.py                                                  9      0   100%
account/migrations/__init__.py                                                      0      0   100%
account/models/__init__.py                                                          3      0   100%
account/models/teacher_profile.py                                                  10      0   100%
account/models/user.py                                                             22      0   100%
account/models/user_manager.py                                                     28      0   100%
account/permissions/__init__.py                                                     7      0   100%
account/permissions/is_education_officer.py                                        10      0   100%
account/permissions/is_finance_officer.py                                          10      0   100%
account/permissions/is_role_admin.py                                               10      0   100%
account/permissions/is_teacher.py                                                  10      0   100%
account/permissions/is_teacher_or_education_officer.py                             10      0   100%
account/permissions/is_teacher_or_finance_officer.py                                8      0   100%
account/serializers/__init__.py                                                     3      0   100%
account/serializers/teacher_profile_serializers.py                                 22      0   100%
account/serializers/user_serializers.py                                            14      0   100%
account/tests.py                                                                  282      0   100%
account/urls.py                                                                     4      0   100%
account/views/__init__.py                                                           4      0   100%
account/views/me_view.py                                                           14      0   100%
account/views/teacher_profile_view.py                                              67      2    97%
account/views/user_create_view.py                                                   8      0   100%
config/__init__.py                                                                  0      0   100%
config/settings.py                                                                 29      0   100%
config/urls.py                                                                      8      0   100%
education/__init__.py                                                               0      0   100%
education/admin.py                                                                  1      0   100%
education/apps.py                                                                   3      0   100%
education/migrations/0001_initial.py                                               13      0   100%
education/migrations/0002_reporthistory.py                                          6      0   100%
education/migrations/0003_alter_teachercourse_options_and_more.py                   4      0   100%
education/migrations/__init__.py                                                    0      0   100%
education/models/__init__.py                                                        9      0   100%
education/models/course.py                                                         26      0   100%
education/models/report.py                                                         34      0   100%
education/models/report_history.py                                                 15      0   100%
education/models/school.py                                                         15      0   100%
education/models/school_contact_person.py                                          14      0   100%
education/models/semester.py                                                       17      0   100%
education/models/session.py                                                        16      0   100%
education/models/teacher_course.py                                                  9      0   100%
education/serializers/__init__.py                                                   9      0   100%
education/serializers/course_serializers.py                                        33      0   100%
education/serializers/report_serializers.py                                       103      1    99%
education/serializers/school_serializers.py                                        24      0   100%
education/serializers/semester_serializers.py                                      26      0   100%
education/serializers/session_serializers.py                                       28      0   100%
education/serializers/substitute_teacher_serializers.py                            18      0   100%
education/serializers/teacher_course_serializer.py                                 36      0   100%
education/serializers/teacher_schedule_serializer.py                               30      0   100%
education/tests/__init__.py                                                         0      0   100%
education/tests/test_education.py                                                 762      0   100%
education/tests/test_reports.py                                                   631      2    99%
education/tests/test_substitute_teacher.py                                        193      0   100%
education/urls.py                                                                  14      0   100%
education/views/__init__.py                                                        10      0   100%
education/views/course_view.py                                                     29      0   100%
education/views/home.py                                                            11      0   100%
education/views/report_view.py                                                     73      3    96%
education/views/school_view.py                                                     16      0   100%
education/views/semester_view.py                                                   11      0   100%
education/views/session_view.py                                                    11      0   100%
education/views/substitute_teacher_view.py                                         37      0   100%
education/views/teacher_course_view.py                                             11      0   100%
education/views/teacher_dashboard_view.py                                          42      0   100%
finance/__init__.py                                                                 0      0   100%
finance/admin.py                                                                    1      0   100%
finance/apps.py                                                                     3      0   100%
finance/migrations/0001_initial.py                                                  8      0   100%
finance/migrations/0002_alter_wage_year.py                                          4      0   100%
finance/migrations/0003_alter_wage_options_alter_wagerate_options_and_more.py       5      0   100%
finance/migrations/__init__.py                                                      0      0   100%
finance/models/__init__.py                                                          3      0   100%
finance/models/wage.py                                                             24      0   100%
finance/models/wage_rate.py                                                        10      0   100%
finance/serializers/__init__.py                                                     3      0   100%
finance/serializers/wage_rate_serializers.py                                       11      0   100%
finance/serializers/wage_serializers.py                                            19      0   100%
finance/tests/__init__.py                                                           0      0   100%
finance/tests/helpers.py                                                           27      0   100%
finance/tests/test_finance.py                                                     113      0   100%
finance/tests/test_models_and_serializers.py                                      136      0   100%
finance/tests/test_views.py                                                       210      0   100%
finance/tests/test_wage_service_additional.py                                     154      0   100%
finance/urls.py                                                                     8      0   100%
finance/views/__init__.py                                                           4      0   100%
finance/views/home.py                                                              11      0   100%
finance/views/wage_rate_view.py                                                    11      0   100%
finance/views/wage_view.py                                                         29      0   100%
services/wage_service.py                                                           55      0   100%
system/__init__.py                                                                  0      0   100%
system/admin.py                                                                     1      0   100%
system/apps.py                                                                      3      0   100%
system/custom_renderers.py                                                          9      0   100%
system/enums.py                                                                    14      0   100%
system/migrations/__init__.py                                                       0      0   100%
system/models/__init__.py                                                           4      0   100%
system/models/base_manager.py                                                       8      0   100%
system/models/base_models.py                                                       49      0   100%
system/serializers/__init__.py                                                      0      0   100%
system/serializers/home.py                                                          0      0   100%
system/tests.py                                                                   184      0   100%
system/urls.py                                                                      0      0   100%
system/utils/__init__.py                                                            4      0   100%
system/utils/model_viewset_utils.py                                                 3      0   100%
system/utils/serializers_utils.py                                                  10      0   100%
system/utils/tests_utils.py                                                        39      0   100%
system/validators/__init__.py                                                       3      0   100%
system/validators/name_validators.py                                                7      0   100%
system/validators/number_validators.py                                             26      0   100%
system/views/__init__.py                                                            0      0   100%
system/views/home.py                                                                0      0   100%
---------------------------------------------------------------------------------------------------
TOTAL                                                                            4180      8    99%
